"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"90","Brandon Bolden (NE)","8","91","11.4","54","1","2","3","3","13","4.3","1","1","16","27.9","1.7","0.0%"
"91","Andy Janovich (CLE)","2","5","2.5","3","0","0","8","10","112","14.0","1","0","16","21.7","1.4","0.1%"
"92","Zach Line (FA)","9","41","4.6","9","0","0","5","10","14","2.8","2","0","16","20.0","1.3","0.0%"
"93","Anthony Sherman (FA)","1","2","2.0","2","0","0","8","9","96","12.0","1","0","16","19.8","1.2","0.0%"
"94","Taquan Mizzell (NYG)","9","16","1.8","7","0","0","8","10","78","9.8","1","0","9","19.4","2.2","0.0%"
"95","Ronald Jones II (TB)","23","44","1.9","9","0","1","7","9","33","4.7","0","0","9","17.2","1.9","73.5%"
"96","Cameron Artis-Payne (FA)","19","69","3.6","15","0","1","3","4","15","5.0","0","0","9","15.9","1.8","0.0%"
"97","Dwayne Washington (NO)","27","154","5.7","28","3","0","0","0","0","0","0","0","13","15.4","1.2","0.0%"
"98","Corey Grant (FA)","13","40","3.1","8","0","0","9","12","67","7.4","0","0","5","15.2","3.0","0.0%"
"99","Brian Hill (TEN)","20","157","7.9","60","3","0","1","2","9","9.0","0","1","10","15.1","1.5","0.3%"
"100","C.J. Ham (MIN)","6","8","1.3","5","0","0","11","15","85","7.7","0","0","15","14.8","1.0","0.1%"
"101","Darrel Williams (KC)","13","44","3.4","8","0","0","3","3","27","9.0","1","0","6","14.6","2.4","10.5%"
"102","Alex Armah (NO)","9","15","1.7","4","0","2","1","1","5","5.0","0","0","16","14.5","0.9","0.0%"
"103","Stevan Ridley (FA)","29","80","2.8","12","0","1","3","4","18","6.0","0","2","10","13.3","1.3","0.0%"
"104","Dontrell Hilliard (HOU)","0","0","0","0","0","0","9","10","105","11.7","0","0","11","13.0","1.2","0.0%"
"105","Devonta Freeman (NO)","14","68","4.9","20","2","0","5","7","23","4.6","0","0","2","11.6","5.8","0.5%"
"106","Keith Ford (FA)","21","79","3.8","11","0","0","3","5","21","7.0","0","0","2","11.5","5.8","0.1%"
"107","Elijhaa Penny (NYG)","7","25","3.6","8","0","0","8","9","50","6.3","0","0","14","11.5","0.8","0.1%"
"108","John Kelly (CLE)","27","74","2.7","7","0","0","2","3","27","13.5","0","0","4","11.1","2.8","0.0%"
"109","DeAndre Washington (FA)","30","115","3.8","13","0","0","1","1","9","9.0","0","1","10","10.9","1.1","0.0%"
"110","Charcandrick West (FA)","2","-1","-0.5","1","0","0","2","3","37","18.5","1","0","3","10.6","3.5","0.0%"
"111","Mark Walton (FA)","14","34","2.4","10","0","0","5","8","41","8.2","0","0","14","10.0","0.7","0.0%"
"112","D'Onta Foreman (FA)","7","-1","-0.1","2","0","0","2","2","28","14.0","1","0","1","9.7","9.7","0.0%"
"113","Patrick DiMarco (FA)","1","9","9.0","9","0","0","3","4","62","20.7","0","0","16","8.6","0.5","0.0%"
